psi,theta,phi,x,y,z
-3.141592654,0.743388088,0,-0.676786033,-8.29E-17,0.736179778
-3.141592654,0.760265422,0,-0.689113808,-8.44E-17,0.72465313
-3.141592654,0.777142756,0,-0.701245298,-8.59E-17,0.712920074
-3.141592654,0.79402009,0,-0.713177046,-8.73E-17,0.700983952
-3.141592654,0.810897424,0,-0.724905655,-8.88E-17,0.688848163
-3.141592654,0.827774758,0,-0.736427783,-9.02E-17,0.676516164
-3.141592654,0.844652092,0,-0.747740149,-9.16E-17,0.663991468
-3.141592654,0.861529425,0,-0.758839531,-9.29E-17,0.651277642
-3.141592654,0.878406759,0,-0.769722766,-9.43E-17,0.638378308
-3.141592654,0.895284093,0,-0.780386755,-9.56E-17,0.625297139
-3.141592654,0.912161427,0,-0.790828461,-9.68E-17,0.612037863
-3.141592654,0.929038761,0,-0.801044909,-9.81E-17,0.598604254
-3.141592654,0.945916095,0,-0.81103319,-9.93E-17,0.585000141
-3.141592654,0.962793429,0,-0.820790457,-1.01E-16,0.571229398
-3.141592654,0.979670762,0,-0.830313933,-1.02E-16,0.557295948
-3.141592654,0.996548096,0,-0.839600904,-1.03E-16,0.543203758
-3.141592654,1.01342543,0,-0.848648725,-1.04E-16,0.528956843
-3.141592654,1.030302764,0,-0.857454819,-1.05E-16,0.514559262
-3.141592654,1.047180098,0,-0.866016677,-1.06E-16,0.500015115
-3.141592654,1.064057432,0,-0.874331861,-1.07E-16,0.485328545
-3.141592654,1.080934766,0,-0.882398003,-1.08E-16,0.470503735
-3.141592654,1.0978121,0,-0.890212805,-1.09E-16,0.455544907
-3.078760801,-0.589921287,0,0.555197893,0.034930091,0.830984469
-3.078760801,-0.573043953,0,0.541122359,0.034044533,0.840254463
-3.078760801,-0.556166619,0,0.526892694,0.033149279,0.84928512
-3.078760801,-0.539289286,0,0.512512949,0.032244582,0.858073869
-3.078760801,-0.522411952,0,0.497987222,0.0313307,0.866618206
-3.078760801,-0.505534618,0,0.483319648,0.030407895,0.874915697
-3.078760801,-0.488657284,0,0.468514408,0.029476428,0.88296398
-3.078760801,-0.47177995,0,0.453575716,0.028536565,0.890760761
-3.078760801,-0.454902616,0,0.43850783,0.027588574,0.89830382
-3.078760801,-0.438025282,0,0.42331504,0.026632725,0.905591009
-3.078760801,-0.421147949,0,0.408001673,0.02566929,0.912620251
-3.078760801,-0.404270615,0,0.392572093,0.024698543,0.919389544
-3.078760801,-0.387393281,0,0.377030693,0.023720761,0.925896961
-3.078760801,-0.370515947,0,0.361381901,0.022736222,0.932140647
-3.078760801,-0.353638613,0,0.345630173,0.021745207,0.938118825
-3.078760801,-0.336761279,0,0.329779997,0.020747999,0.943829791
-3.078760801,-0.319883945,0,0.313835887,0.01974488,0.949271919
-3.078760801,-0.303006611,0,0.297802385,0.018736138,0.954443658
-3.078760801,-0.286129278,0,0.281684058,0.017722059,0.959343536
-3.078760801,-0.269251944,0,0.265485496,0.016702932,0.963970157
-3.078760801,-0.25237461,0,0.249211315,0.015679047,0.968322203
-3.078760801,-0.235497276,0,0.232866148,0.014650696,0.972398434
-3.078760801,-0.218619942,0,0.216454652,0.013618172,0.976197689
-3.078760801,-0.201742608,0,0.199981502,0.01258177,0.979718887
-3.078760801,-0.184865274,0,0.18345139,0.011541783,0.982961024
-3.078760801,-0.167987941,0,0.166869024,0.010498509,0.985923177
-3.078760801,-0.151110607,0,0.150239127,0.009452245,0.988604501
-3.078760801,-0.134233273,0,0.133566437,0.008403288,0.991004234
-3.078760801,-0.117355939,0,0.116855701,0.007351938,0.993121691
-3.078760801,-0.100478605,0,0.100111681,0.006298493,0.994956271
-3.078760801,-0.083601271,0,0.083339145,0.005243255,0.996507449
-3.078760801,-0.066723937,0,0.066542871,0.004186523,0.997774784
-3.078760801,-0.049846603,0,0.049727644,0.003128598,0.998757915
-3.078760801,-0.03296927,0,0.032898252,0.002069783,0.999456563
-3.078760801,-0.016091936,0,0.016059489,0.001010377,0.999870528
-3.078760801,0.000785398,0,-0.000783848,-4.93E-05,0.999999692
-3.078760801,0.017662732,0,-0.017626962,-0.001108994,0.999844018
-3.078760801,0.034540066,0,-0.034465055,-0.002168357,0.999403551
-3.078760801,0.0514174,0,-0.051293331,-0.003227103,0.998678417
-3.078760801,0.068294734,0,-0.068106997,-0.004284929,0.997668821
-3.078760801,0.085172067,0,-0.084901263,-0.005341535,0.996375052
-3.078760801,0.102049401,0,-0.101671347,-0.006396619,0.994797477
-3.078760801,0.118926735,0,-0.11841247,-0.007449881,0.992936547
-3.078760801,0.135804069,0,-0.135119865,-0.008501021,0.990792791
-3.078760801,0.152681403,0,-0.151788773,-0.00954974,0.98836682
-3.078760801,0.169558737,0,-0.168414446,-0.010595739,0.985659325
-3.078760801,0.186436071,0,-0.184992148,-0.011638719,0.982671077
-3.078760801,0.203313405,0,-0.201517157,-0.012678385,0.979402927
-3.078760801,0.220190738,0,-0.217984767,-0.013714439,0.975855807
-3.078760801,0.237068072,0,-0.234390286,-0.014746587,0.972030726
-3.078760801,0.253945406,0,-0.250729042,-0.015774534,0.967928774
-3.078760801,0.27082274,0,-0.266996381,-0.016797988,0.96355112
-3.078760801,0.287700074,0,-0.28318767,-0.017816658,0.95889901
-3.078760801,0.304577408,0,-0.299298296,-0.018830253,0.953973769
-3.078760801,0.321454742,0,-0.31532367,-0.019838484,0.948776801
-3.078760801,0.338332075,0,-0.331259229,-0.020841064,0.943309585
-3.078760801,0.355209409,0,-0.347100432,-0.021837708,0.93757368
-3.078760801,0.372086743,0,-0.362842768,-0.022828132,0.931570718
-3.078760801,0.388964077,0,-0.378481753,-0.023812054,0.925302409
-3.078760801,0.405841411,0,-0.394012932,-0.024789193,0.91877054
-3.078760801,0.422718745,0,-0.409431881,-0.025759271,0.91197697
-3.078760801,0.439596079,0,-0.424734209,-0.026722011,0.904923635
-3.078760801,0.456473413,0,-0.439915556,-0.027677141,0.897612544
-3.078760801,0.473350746,0,-0.454971599,-0.028624387,0.890045779
-3.078760801,0.49022808,0,-0.469898049,-0.029563479,0.882225495
-3.078760801,0.507105414,0,-0.484690654,-0.030494151,0.87415392
-3.078760801,0.523982748,0,-0.499345201,-0.031416137,0.865833354
-3.078760801,0.540860082,0,-0.513857516,-0.032329175,0.857266165
-3.078760801,0.557737416,0,-0.528223465,-0.033233004,0.848454795
-3.078760801,0.57461475,0,-0.542438955,-0.034127366,0.839401753
-3.078760801,0.591492084,0,-0.556499939,-0.035012009,0.830109617
-3.078760801,0.608369417,0,-0.570402411,-0.035886678,0.820581036
-3.078760801,0.625246751,0,-0.584142411,-0.036751125,0.810818721
-3.078760801,0.642124085,0,-0.597716025,-0.037605105,0.800825455
-3.078760801,0.659001419,0,-0.611119386,-0.038448373,0.790604084
-3.078760801,0.675878753,0,-0.624348678,-0.039280689,0.780157519
-3.078760801,0.692756087,0,-0.637400132,-0.040101817,0.769488736
-3.078760801,0.709633421,0,-0.650270031,-0.040911523,0.758600774
-3.078760801,0.726510754,0,-0.662954708,-0.041709575,0.747496733
-3.078760801,0.743388088,0,-0.675450551,-0.042495747,0.736179778
-3.078760801,0.760265422,0,-0.687754,-0.043269814,0.72465313
-3.078760801,0.777142756,0,-0.69986155,-0.044031557,0.712920074
-3.078760801,0.79402009,0,-0.711769754,-0.044780757,0.700983952
-3.078760801,0.810897424,0,-0.723475219,-0.045517203,0.688848163
-3.078760801,0.827774758,0,-0.734974611,-0.046240683,0.676516164
-3.078760801,0.844652092,0,-0.746264655,-0.046950992,0.663991468
-3.078760801,0.861529425,0,-0.757342134,-0.047647928,0.651277642
-3.078760801,0.878406759,0,-0.768203894,-0.048331292,0.638378308
-3.078760801,0.895284093,0,-0.77884684,-0.04900089,0.625297139
-3.078760801,0.912161427,0,-0.789267942,-0.04965653,0.612037863
-3.078760801,0.929038761,0,-0.79946423,-0.050298026,0.598604254
-3.078760801,0.945916095,0,-0.809432801,-0.050925195,0.585000141
-3.078760801,0.962793429,0,-0.819170815,-0.051537859,0.571229398
-3.078760801,0.979670762,0,-0.828675498,-0.052135843,0.557295948
-3.078760801,0.996548096,0,-0.837944143,-0.052718977,0.543203758
-3.078760801,1.01342543,0,-0.84697411,-0.053287094,0.528956843
-3.078760801,1.030302764,0,-0.855762827,-0.053840034,0.514559262
-3.078760801,1.047180098,0,-0.864307791,-0.054377637,0.500015115
-3.078760801,1.064057432,0,-0.872606567,-0.054899752,0.485328545
-3.078760801,1.080934766,0,-0.880656792,-0.055406229,0.470503735
-3.078760801,1.0978121,0,-0.888456173,-0.055896924,0.455544907
-3.015928947,-0.589921287,0,0.551909058,0.069722328,0.830984469
-3.015928947,-0.573043953,0,0.537916904,0.067954708,0.840254463
